;8.jpg;9.jpg;14.jpg;29.jpg;15.jpg;17.jpg;16.jpg;12.jpg;40.jpeg;13.jpg;39.jpg;11.jpg;10.jpg;38.jpg;21.jpg;35.jpg;34.jpg;20.jpg;36.jpg;22.jpg;23.jpg;37.jpg;33.jpg;27.jpg;26.jpg;18.jpg;24.jpg;30.jpg;19.jpeg;31.jpg;25.jpg;4.jpg;28.jpeg;5.jpg;7.jpg;32.jpeg;6.jpg;2.jpg;3.jpg;1.jpg
madera;0,0,0;0,0,3,0,0,2,1,0,1,0,1,0,0,0,0,0,1,0;0,0,4,0,0,2;100,4;0,0,1,0,1,0;0,0,0,0,0,0,0,0,0,1,0,0,4,0,0;0,4,1,0,0,0,0,0,0,2,0,0;0,0;0,0,0,0,0,0,0,0;0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0;0,0;0,0,2,0,0,0,0,0,0,0,0,0,0;0,0,0,3,0,0,0,0,0;0,0,0,0,3;0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;10,4,0,0,0,0,0,0;0,1,3,0,0,0,3,0,1;30,1,2,0,0,3,0,0,0,0,1,1;0,0,0,0,0,0,0,1,0,0,0,0,0,0;0,0,0,1,0,0,0,0,0;0,2,1,3,0,0,0,0;100,4,4,3;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3;0,0,1,1,0,0,0,0,0,0,0,0,1,4,0,2,0;0,0,0,0,1,0,3,0,0,2;0,3,0,0;0,0,0,0,0,0,2,0,0,0,0,1,0;0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0;100,4,4,2,3,4,4,4,4,3,3,4,3,4;0,0,0,0,0,0,0,0,1,0,0,0,0;0,0,0,0,2,0,0,0,0,0,0,0,0;100,2,3,2,4,4,3,0,2,2,4,4,3;0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0;0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0;50,3,3,4,4,3,3;0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1;0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3;0,0,0,0,0,0,0,0,3,0,1,1;0,2,0,0,0,2,0,0,0,2,0,0,2,0,1,0,0,1,0
madura;0,0,0,0,0,2,0,2,0,0,0,1;0,0,0,0,0,0,2,0;50,1,4;0,0,0,0,1,0,0;50,3,0,0;0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0;0,0,0,0,0,4,0,1,1,2,0,1,0,0,0,2,0;50,1,4,1,4,4,0,4,1,4,0,0,4,4,0,3,3,4,1,1;0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0;50,0,0,1,2,1,1,0,0,4,2,2,0,4,4,4;0,0,0,0;0,0,0,0,0,1,0,0,0,0,2,2,1,0;0,0,0,0,1,0;0,1,0,0,0,0,0,0,0,4,0,0;0,0,0,0,0,3,0,0;0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,0,0;0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2;0,3,0,0,0;0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0;0,0,0,0,0,1,0,2;0,1,0,0,0,0,0,0,0,0,2,2,0,0;0,2,1,0,0,0,0,0,4,0;0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0;0,1,0,0;0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0;0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,3;0,0,0,0,0,2,0,0,0,0,0,1,0,0;0,3,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0;0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0;0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,1,0;0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0;0,0,2,0,1,0,0,0,1;0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0;0,0,1,0,0,0,0,0,2,0,3,1,0,2,3,0,0;0,0,0,0,0,0,1;0,0,0,0,0,0,0,0,4,0,0,0,0,1,0
malsano;0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,2,0,0,0,0,0,0,0,0,2;0,1,0;0,0,0,0,0;0,0,0,0,3,1,0,0;0,0,2,0,1,0,0,0,0;0,0,0,0,0,0,0,3,0,0,0,3,0,0,0;0,0,0,0,2,0;0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1;0,0,0,3,0,0,0,0,0,0,0,1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,1,0,0,1;0,1,1,0,0;0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0;0,0,0,2,0,2,0,2,1,1,0,0,2,0,0,2,0,1,0,0;0,0,2,0,0,0,2,3,0,0,0,0,0,0,0,2,0,2;0,0,0,0,0,0,0,3,2,3,2,0,4,0,0,0,0,0,0,0;0,0,0,0,1,1,3,0,0,0,0,0,0,2,0,1,0,0,3,0;0,0;0,0,1,1,0,1,0,3,4,0,0,0;0,0,0,0,0,0,3,3,0,3,3,0;0,1,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,1,0,3,1,0,0,0,2,0,0,0,0;0,3,0,0,0,0,3;0,0,0,0;0,1,0,0,0,3,0;0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2;0,1,0,0,1,0,0;0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0;0,0,0,0,0,0,0,0,0,1,0,0,0;0,2,3,0,0,1,0,0,0;0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,0,0,2,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,4,0,0,0;0,1,0,1,2,0,0,1,0,0,2,0,0;0,0,2,2,0,0,2,0,0,0,0,0;0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0;0,0,0,0,0,0,0,0,0,0;0,2,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0
mamifero;100,0,4,4,1,3,4,4,3,3,4,3,2,2;0,1,0,0,0,0,0;0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,1,0,2,1,0,0,0,0,0,0,0,4,0,1,0,0,4;0,0,0,0;0,0,0,3,0,2,0,0,0,0,1,2,0,0,0,0;0,0,0,0,0,1,1,1,1,3,0,0,0;0,0,2,0;0,3,0,0,0,0,0,0,0,0,0,3,0;0,0,0,0,0,0,0,0,0,0,0;0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0;0,0,3,3;0,0,0,0,0,0,4,0,0,0,0,0;0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,2,3,0,0,0,0;0,0,0,0,0,4,0;0,0,0,2,0,0,0;0,0,0,0,1;0,0,0,0,3,0,0,2,0,2,1,0,0,0,0,0,2;0,1,0,0,0,0;0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2;100,3,3,1,3,3,4,3,3,4,4,3,4;0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0;0,0,0;0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0;100,4,0,3,3,3,2,4,4,3,3,3;0,0,0,0,0,0,0,0,4,0,0,0,0;100,1,3;0,0,0,3,0,0,0,0,0,0,0,0,0,0,0;0,2,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0;100,4,4,4,2;100,4,1,1,4,4,3,3,3,4,1,2,4,2,2,3,3,4,2,3;0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0;100,1,1,0,4,3,3,3,3,4,4,4,4,4,4,3,1,3,4;100,4;0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,3,1,2;100,1,4;0,3,2,0,0,0,2,0,0,0,0,0,0,0,0;100,3;0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0
manguera;0,0,1,1,0,0,0;0,0,0,2,0,0,0,0,0,0,0,0,0;0,0,0,3,0,2,0,0,0,0,0,0;0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0;0,0,0;0,0,0,1,0,0,0,3,1,0,0,0,3,0,0,0,0,0,0;0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1;0,0,0,0,0,1,0,0,0,1,3,0,0,4,1,0;0,0,0,3,0,0,0,0,2,0,0,0,0;0,0,3,0,0,0,0,3,0,0,2,0,0,0,0,0;0,2,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,3,0,2;0,2,0,0,2,0;0,0,2,0,3,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0;0,0,0,0,2,0,0,0,0,0,0;0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,1,0,0,0;0,0,3,0,0,0,2,0,0,1,0,0,0,0;0,0,0,0,0,1,0,0,0,0;0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0;0,1,0,0,0,0,0;0,0,1,1;0,0,0,1,0,0,0,1,0,0;0,0,0,0,0,0,1,0,0,1,0,0,2,0,0;0,0,0,0,0;0,0,3,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0;0,2,0,0,2,0,0,0,0,0,0,0,0;100,4,2,2,1,3,3,4,3,3,3,4,4,3,3,3,4,4,4,4;0,0,2,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0;0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0;0,0,0,0,0,0,2,0,0,0,1;0,2,0,1,1,0,0,0,0,0,3,0,0;0,0,0,1;0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0;0,0,0;0,0,0,0,0,3,0;0,0,0,0,0,0,0,2,1,0,0,1,0;0,0,0,0,0,0,0,0,0;0,0,0,0,1,1,0,0,1,0,0,1,0,0;0,0,0,0,0,0,0,0,0,0,0,0;0,0,2,0,0,0,0,0,3
margarita;0,0,0,2,2,0,0,0,0,0;0,0,0,0,0,0,2,0,2,0,0;0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,2,0,0,2,0,0,1,0,0,4,0,0;0,0,3,0,0,0,0,0,2,1,0,0,1,0,0,0;0,0,0,1,0,0,0,0;0,0,0,0,0,0,0,2,0;0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0;100,1,3,3,3;70,1,1,4,1,1,1;0,0,2,0,0,0,0,0,0,0,0;0,0,0;0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0;0,0,0,0,0;0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0;0,0,0,0,0,0,0,0,0,0;0,2;0,0,0,0,0;0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0;0,1,0,1,0,0,0,0,1,0,0,2,0,0,0;0,0,0,0,0,0,0,0;0,0,1,0,0;0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0;0,0,0,0,0,1,0,0,0,0,0,4,0,0;0,2;0,0,3,0,1,1,0,0,0,0,2,2,0;0,0,1,0,0,1,3,0,0,1,0,0,0,0,0;0,0,0,0,0,2,0;0,0,0,0,0,0,0,2,1,0;0,0,0,0;0,0,0,0;0,0,0,2,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0;0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,2,0,1,0,0;0,3,0,3,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,3,0;0,0,0,0;0,0,2,2,0;0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0;0,0,0,0,0,1,0,0;0,0,0,0,0,2,0,0,0,0
marron;0,0,0,0;0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0;0,2,0,0,4,0,0,0,4,0,0,0,0,0,0;100,4,4,3,0,2,3,3,3,4,3,3,4;0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0;0,1,0,0,0,0,0,0,0,0,0;0,0,0,0,3,2,0;0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0;0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,2,2,1;0,2,0,0,0,0,0,0,0,0,0,0;0,2,0,2,0,0,1,2,3,0,0,0,2,0,0,3;0,3,0,1;0,0,0,0,3,2,0,0,0,0,2,0,3,0,0,0,0;0,0,0,1,1,0,0,0,0,0,0,1,0,0;0,0,0;0,0,0,0,3;0,0,0,0,0,0,0,0,4,0,0,0,1,0,2,2,1,0,0,2;0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0;0,3,0,0,0,0,0,0,0,0,2,0,0,3,0;0,0,1;0,2,0,2,3,0,3,3,0,1,0,0,0,0,2,0,0,0,0,1;0,2,0,1,0;0,0,3,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0;0,0,0,2,3,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0;0,1,1,1;0,0,0,0;0,0,0,0,0,0,0,0,1;0,0;100,1,3,2,4,4,4,3,0,4,4,4,3,0,3,4,4,4,3;60,4,2,0,4,1,3,4,3,0,0,4,3,0,1,3,1,4,0,4,4;10,0,0,0;0,0,2,0,0,0,0,0,0,1,0,2,0,0,2;0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0;0,0,4,1,2,0,0,0,3,0,0,1,0,0,0,0,1,3,0;0,0,2,0,0,0,2,0,0,0,0,0,1,2,0,0;0,0,4,2,0,0,0,0,0
mcdonalds;0,0,0,0;0,0,1,0,0;0,0,0,2,0,0,0,0,0,4,0,0,1,0,0,0;0,0,2,1,0,1,0,0;0,0,1,0,0,0;10,0,0,0,4,0,0,0,0,0;100,4,4;0,0,0,2,1,0,0,0,0;0,1,0,0,0,0,0,2,0,3,0,0,0;0,0,3;0,0;0,0,3,0,0,0,0,0,0,0,0,0,0,0;0,4,2,0;0,0,0,0,1,0,0,0;0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0;0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1;0,0,0,0;0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0;0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0;0,0,0,0,0,0,0,1,0,0,0,0,0,0;0,0,0,2,0,0,0,0,0,0,0,0,0;0,0,0,0,0,1,0,0,0,3,0,0,0,3,1,0;0,0;0,0,1,0,0,1,0,0,0,0,2,2,0;0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0;0,0,0,0,3,0,0,0,0,0,0;0,0,0,0,1,0,0;0,0,0,0,0,2,0,0;0,0,0;0,0,0,0,1,0,0,0,0,1,0;0,1,0,2;0,1,1,2,0,0,0,0,3,0,0,2,0,0,0,3;0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,4,2,0,0;0,0,0,0,0,0,0;0,0,1,2,0,0,1,0,0,0,0;0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2;0,0,0,0,0,0,1;0,0,0,0,0,0,2,1,0,0,0,1,0,0,0;0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,2,3;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
metal;0,0,1;0,0,0,2,0,0,2,0,0,0,0,0,1,2,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,3,0,0,0,0,0;0,1;0,0,1,0,0,0,0,0,0,1;0,1,0,0,1,0,0,0,3,0,2,0,0,0,2,0,0;0,0,0,0;0,2,0;0,0,0,2,0,0;0,0,0,0,0,0,2,0,0,0,0,0;0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,2,0,0;0,0,3;0,0,0,0,2,0,0,0,0,1,1,3;100,4,1,4,3,3,3,3,0,4,2,4,3,4,4,4,3,4,4,4,4;0,0,0,0,2,0,0,0,0,0,2,1,0;0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2;100,4,0,3,4;0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0;0,0,2,0,0,0,0,0,0,0,3,2,3,0,0,0;0,0;0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0;0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1;100,3,0,3,3,4,3,4,3,2,3,1,3,3,3,4;0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,1;0,0,0,0,0,0,0,0,3,0,0,3,0,0,0;0,0,2;0,0,0,0,1,0,0,0;100,4,3,4,4,3,4,4,3,4,3,4,2,4,0,3;0,0,2,0,3,0,0,1,1,0,0,0,1,2,0;0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,2,1;0,0,0,0;0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0;0,0,0,0,0,0,0,2;0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0;0,3,0,0,2,0,3,0,2,0,0,3,0,0,0,2,0,0,2;100,4,2,4,4,3,3,1,4,4,3,2;0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0;100,3,3,2
microfono;0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0;0,0,2;0,0,0,0,2,0,0,0,0,0,0,0,0;0,0,0,0;0,0,0,0,1,0,0,0,0,0;0,2;0,0,0,0,0,0,3,1,0,0,0,2,1,0,0,0,0,0,0,0;0,0,0;0,0,0,0,1;0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,1,0;0,0,0,2,2,0,0,1,0,0,0;0,0,0,1,1,0,0,0,0,0,0;0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0;0,2,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0;0,3,0,0,4,1,1;0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0;0,1,0,0,0,0,0,1,0,0,0,0,0;0,0,3,0,0,3,0,0,3,0,0,1,2;0,2,0,0,0,0,0,0,2,0,0;0,0,0;0,0,0,0,0,0,1,0,1,0,0,0,0,0;0,2,0,0,2,0,0,1,0,0,0,2,0,0;0,0,0,3,0,0,1,0;0,0,0,3,0,0,2,0,0,0,0,0,1,0,1,0,0,2,0,0;0,0,0,0,1,0,0;0,0,0,0,0,0,0,0,2,0,0;0,0,0,0,0;0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,2,0,1;0,1,0,0,0,0,0,0;0,0,0,1,1,0,0,0,0;100,2,3,4,0,3,1,4,3,4,4;0,0,0,2,1,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0;0,1,0,0,0,0,0,0,1,0;0,2,0,0,0,0,0,0,1,0,0;0,1;0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;0,0,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0;0,0;0,0,0,0,0,0,1,0,0;0,0,1,0,0,0,0,0,0
motor;0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0;0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0;0,1,0,0,1;0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0;0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0;0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0;0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,0;0,0,0,0,0,1,0,2,1,0,0,0,0,0,0;0,0,0,3,0,0,0,0,0,2,0,0;0,0;0,3,0,4,0,3;0,0,0,2;100,4,3,4,3;0,0,0,0,0,2,0;0,0,2,1,0,3,1,1,0,1,0;100,4,0,3,1,1,0,3;0,0,2,1,1,0,0,0,1,0,1,0;0,1,0,1,0,0;0,0,0,0,0,0,0,0,0,0,0,3,0;0,0,2,0,1,0,2,0,0,0,0,3,3,0,0;0,3,3,3,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,2,0,0,0,0;0,0,0,0,1,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0;0,0,0,0;100,4,3,2,4,1,4,4,4,4,3,3,3,3,4,0,4,3,4;0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0;0,0,2,0,0,0,0,0,0,2,0;0,1,0,0,0,0,1,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0;0,2,0,0,0,0,0,0,0,0,0,0;0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0;0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0;75,1,1,1,1,1;0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1;75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
movimiento;0,0,0,0,0,3,0,0,0,0,0,1,2,1,3,0,3,0,0,0,0;0,0,0,0,0,0;0,1,0,0,0,0,0,0;0,0,0,2,0,0,0,1,0,0,0,0,0;0,0,0,2,0,0,0,0,0,0,0;0,1,3,4,0,0,0,0,0,0,0,0,3,0,0,0;0,1,0,0,0,0,0,0,0,0;0,0,0;0,0,0,3,0,0,1,2,0,0;0,0,0,0,2,0,0,0,0,2,0,2,0,2,2,0,3,3;0,0,0,2,0,1,0,2,0;0,0;0,0,0,0,0,2,0,0,0;0,0,0,0,1,0,0,0,0,0,0,0,0;30,0,0,0,0,1,2,0,3,0,0,1,0,0,0,2,0,0,0,0;0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,1,0;0,2,0,2,1,0,0,3,0;0,3,0,0,0,0,1,0;0,0,0,0,0;0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0;0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1;0,0,0,3,0,1,0,2,0;100,4,4,4,3,4,4,3;0,0,0,0,0,0,0,0,1,0,3,0,3;0,0,0,0,0,0,2,0,0;0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,2,1,0,0,3,0,0,2,0,0;0,0,0,0,2,0;0,2;0,0,1,0,0,0,2,0,0,1,0,0,3,0,0;0,0,0,1,0,0,0,0,4,0,0,1,0,0;0,0,1,0;0,0,1,0,0,0,0,0,1,0,0,3,0,0,0;0,0,0,0,0,0,3,0,3,3,0,0,0,0,2,0,0;0,3,0,0,0,0,0,0,1,0,0,3,0,2,0,1;20,0;0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0;20,0,1
mueble;0,0,1,0,0,0,1,1,0,2,0,0,0,0,1,0,0;0,0,0,1,0,0,0,0,0,0,0;0,0,0,0,0,0,0;100,3,0,4,1,3,1,3,3,3,4,1,4,0,2,3,4,4,4,3;0,0,0,0,3,0,0,0,0,0,0,0,1,0;0,0,0,0,2,0;0,0,0,2,1,0,0,0,3,0,0,0,0,0,4;0,0;0,0,3,0,0,0,0,3,0,3;0,0,0,0,0,0,0,2;0,0,0;0,0,0,2,0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0;0,0,0,0,1,0,2,2;0,0,0,2,3,1,0,3,0,0,0,3,0,3,0,2,0,0,0,2,0;0,0,0,0,0,0,0,0,4,0,0,0,0,3;0,2,0,0,0,0;0,0,1;0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0;0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0;0,0,0,2,0;0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0;0,1,0,2,0,0,2,0;100,4,3,4,3,0,3,1,3,4,4,3,4;0,0,0,0,0,0,0;0,2,0,0,0,4,0,0,0,0,2,1,0,0,0,1,0,2,1;0,0,0,0,0;0,2,0,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0;0,0,2,0,0,0,0,2;0,0,2,0,2,0;0,2,0,1,1,0,1,2,0,1,0,1,1,2,3,0,0;0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0;100,0,4,2,4,4,2,2,4,1,3;0,0,0,0,0,0,0,0,0,0;0,0,1,0,0,0,0,0,1,1,1;0,1,4,0,0,0,0,0,0,3,0,0,2,0,0,0,0,3,0,1,2;0,0,0,0,3,0,0,0,2;0,1,3,0,2,0,0,0,0;0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2;0,0,0,3,0,0,0,0,0,0,2,0,0,0,0
mujer;0,1,0,0,0,0,0;0,0,1,0,0,0;0,0,0,0,1,0,0,0,0,1,0;0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;0,0,0,0,0,0,0,1,0,0,0,0,0,1;0,0,0,0,0,0,0,0;0,1,0,0;0,1,0,0;0,0,0,1,0;0,0,0,0,3,0,0,0,0,0,0;0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0;0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0;0,0,0,0,1;0,0;0,0,0,0,0,0,4,0,1,0,1;0,0;0,0,0,3,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1;0,0,0,0,0,0,0,0,0,0,1,0,0,2;0,2,0,0,0,0,0,1,0;0,3,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,3,2,0,0,0,1,0,0,0,1,0,1,0,3;100,1,2,3,3,4,4,2,4,4,4,4,3,1,0,1,4,4,4;0,0,0,0,0,0,0,0,0;0,0,0,0,0;0,2,0,0,0,0,1,0,0,0,1,3,0,0,1,0,0,0,0,0;0,0,0,0,0,0,0,3,0,1,0,0,4,0,0,0,0;0,0,0,0,0,0,3,0,0,3,1,0,2,0;100,4,3,1,3,3,4,3,3;0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0;0,0,1,0,0,0,0;0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0;0,0,0,0,0,0,0,0,3;0,0,0,0,0,0,1,0,0,0,0,0,0,0,0;0,3,0,0,0,1,0,0,1,0,0,0,0,1;0,0;0,0,0,0,0,0,0,0,0,3;0,0,0,1,0,0,0,0,0,0,0,0,0,4,0
